Meals,Actual Meal
WKLY SPCL 1,Saag
WKLY SPCL 2,Rainbow Chopped Salad w/ Red Curry Dressing
WKLY SPCL 3,Veggie Medley Soup
SEAS FAVE 1,ROASTED CAULIFLOWER CURRY
SEAS FAVE 2,Holiday Salad w/ Poppyseed Dressing
SEAS FAVE 3,Gingerbread Oats
THE ORIGINAL,Original Smoothie
ALMOND BUTTER,Almond Butter Smoothie
THE ENERGIZER,Energizer Smoothie
SEASONAL SMOOTHIE,Seasonal Smoothie
